album_id,album_title,year,folder_name,track_id,track_title,track_token,notes
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.01_rebirth,Rebirth,01 - Rebirth,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.02_elimination,Elimination,02 - Elimination,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.03_the_accountable,The Accountable,03 - The Accountable,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.04_now_arise,Now Arise,04 - Now Arise,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.05_live_like_i_m_real,Live Like I'm Real,05 - Live Like I'm Real,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.06_starved,Starved,06 - Starved,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.07_exist,Exist,07 - Exist,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.08_put_to_rest,Put To Rest,08 - Put To Rest,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.09_a_descent,A Descent,09 - A Descent,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.10_a_higher_place,A Higher Place,10 - A Higher Place,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.11_an_ascent,An Ascent,11 - An Ascent,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.12_thrive,Thrive,12 - Thrive,
boo.ahp,A Higher Place,2009,2009 - A Higher Place,boo.ahp.13_faces_of_death,Faces Of Death,13 - Faces Of Death,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.01_machine,M∆chine,01 - M∆chine,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.02_divergency,Divergency,02 - Divergency,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.03_mindful,Mindful,03 - Mindful,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.04_exhilarate,Exhil∆r∆te,04 - Exhil∆r∆te,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.05_absolution,∆bsolution,05 - ∆bsolution,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.06_the_origin,The Origin,06 - The Origin,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.07_aeon_iii,∆eon III,07 - ∆eon III,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.08_imaginary_condition,Im∆gin∆ry Condition,08 - Im∆gin∆ry Condition,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.09_illusionist,Illusionist,09 - Illusionist,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.10_source_field,Source Field,10 - Source Field,
boo.twda,Tomorrow We Die Alive,2013,2013 - Tomorrow We Die ∆live,boo.twda.11_vengeance,Venge∆nce,11 - Venge∆nce,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.01_rosecrance,Rosecrance,01 - Rosecrance,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.02_empires_erased,Empires Erased,02 - Empires Erased,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.03_open_arms_to_damnation,Open Arms To Damnation,03 - Open Arms To Damnation,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.04_abstract_art,Abstract Art,04 - Abstract Art,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.05_the_new_reign,The New Reign,05 - The New Reign,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.06_brace_legs,Brace Legs,06 - Brace Legs,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.07_bow_down,Bow Down,07 - Bow Down,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.08_the_takeover,The Takeover,08 - The Takeover,
boo.eternal_reign,The Eternal Reign,2017,Born Of Osiris - The Eternal Reign - 2017,boo.eternal_reign.09_glorious_day,Glorious Day,09 - Glorious Day,
boo.soul_sphere,Soul Sphere,2015,Born of Osiris - Soul Sphere (2015),boo.soul_sphere.01_the_other_half_of_me,The Other Half of Me,01 - The Other Half of Me,
boo.soul_sphere,Soul Sphere,2015,Born of Osiris - Soul Sphere (2015),boo.soul_sphere.02_throw_me_in_the_jungle,Throw Me in the Jungle,02 - Throw Me in the Jungle,
boo.soul_sphere,Soul Sphere,2015,Born of Osiris - Soul Sphere (2015),boo.soul_sphere.03_free_fall,Free Fall,03 - Free Fall,
